gov,gu,name,school,type,juso,student,class,x,y
북부,노원구,성북유치원,유치원,사립,서울특별시 노원구 광운로17길 5-3 ,16.6,5,37.6223308,127.0571611
동부,중랑구,미광유치원,유치원,사립,서울시 중랑구 용마산로 115나길 7,19,4,37.62258025,127.0832639
서부,은평구,서울연신초등학교,초등학교, 공립,서울 은평구 연서로 347 ,19.8,23,37.6231559,126.9275563
서부,은평구,서울연신초등학교병설유치원,유치원,공립,서울특별시 은평구 연서로 347 ,26,2,37.6231559,126.9275563
성북,강북구,서울삼양초등학교,초등학교, 공립,서울특별시 강북구 삼양로49길 17 ,23.1,36,37.6234354,127.0182432
성북,강북구,서울화계초등학교,초등학교, 공립,서울특별시 강북구 솔매로50가길 25 ,22.7,44,37.6234445,127.0294881
성북,강북구,서울화계초등학교병설유치원,유치원,공립,서울특별시 강북구 솔매로50가길 25 ,23.3,3,37.6234445,127.0294881
서울시,강북구,미양고등학교,고등학교, 자율고, 서울특별시 강북구 인수봉로 39 ,25,24,37.623489,127.012205
성북,강북구,미양중학교,중학교, 공립, 서울특별시 강북구 인수봉로 39 ,32.7,20,37.623489,127.012205
서부,은평구,서울연광초등학교,초등학교, 공립,서울특별시 은평구 연서로35길 37 ,19.3,24,37.6236075,126.9258161
서부,은평구,서울연광초등학교병설유치원,유치원,공립,서울특별시 은평구 연서로35길 37 ,21.5,2,37.6236075,126.9258161
북부,노원구,미광유치원,유치원,사립,서울특별시 노원구 공릉로34길 62 ,17.2,5,37.6236618,127.084369
북부,노원구,노원 삼육유치원,유치원,사립,서울특별시 노원구 공릉로42길 13-1 ,18.3,3,37.6242848,127.0820013
북부,노원구,녹천중학교,중학교, 공립, 서울특별시 노원구 월계로 376 ,28.1,20,37.6245703,127.0502457
서부,은평구,라라유치원,유치원,사립,서울특별시 은평구 갈현로 170-1 ,13.5,2,37.6249424,126.9172316
북부,노원구,서울태랑초등학교,초등학교, 공립,서울특별시 노원구 화랑로51나길 31 ,27.3,38,37.625126,127.090324
북부,노원구,서울태랑초등학교병설유치원,유치원,공립,서울특별시 노원구 화랑로51나길 31 ,18.7,3,37.625126,127.090324
북부,노원구,태랑중학교,중학교, 공립, 서울특별시 노원구 화랑로51나길 51 ,32.7,26,37.625126,127.090324
북부,노원구,토마토유치원,유치원,사립,서울특별시 노원구 공릉로 181 181,21.7,6,37.6255002,127.0794843
성북,강북구,오누이유치원,유치원,사립,서울시 강북구 한천로 105길242 ,24.3,3,37.62551577,127.045833
북부,노원구,공능유치원,유치원,사립,서울특별시 노원구 동일로186길 27 ,18.5,4,37.6265165,127.0768314
북부,노원구,신창중학교,중학교, 공립, 서울 노원구 월계로45길 92 ,29.2,19,37.6265215,127.0511864
북부,노원구,서울공연초등학교,초등학교, 공립,서울특별시 노원구 동일로192가길 16 ,22.8,35,37.6267898,127.0737318
서부,은평구,연천중학교,중학교, 공립, 서울특별시 은평구 연서로41길 30 ,30.9,20,37.6271661,126.9250902
서울시,은평구,세명컴퓨터고등학교,고등학교, 특성화고(직업), 서울특별시 은평구 통일로92가길  33,24.9,27,37.6271673,126.9224046
북부,노원구,산내들유치원,유치원,사립,서울특별시 노원구 공릉로46길 28 ,26.8,4,37.6275399,127.0819393
북부,노원구,보배유치원,유치원,사립,서울특별시 노원구 마들로3길 37 ,25,4,37.6280816,127.0643362
북부,노원구,서울녹천초등학교,초등학교, 공립,서울특별시 노원구 마들로3길 34 ,23.4,20,37.6280816,127.0643362
서울시,강북구,신일고등학교,고등학교, 자율고, 서울특별시 강북구 솔매로49길 20 ,33.2,33,37.6283087,127.0261751
성북,강북구,신일중학교,중학교, 사립, 서울특별시 강북구 솔매로49길 20 ,33.1,15,37.6283087,127.0261751
서울시,은평구,동명여자고등학교,고등학교, 일반고, 서울특별시 은평구 통일로 793 ,32.3,44,37.6286904,126.9192984
서울시,은평구,동명여자정보산업고등학교,고등학교, 특성화고(직업), 서울특별시 은평구 통일로 793  ,29.8,13,37.6286904,126.9192984
서부,은평구,바다의별유치원,유치원,사립,서울특별시 은평구 통일로 790-1 ,21.6,5,37.6286904,126.9192984
서울시,은평구,신도고등학교,고등학교, 일반고, 서울특별시 은평구 통일로 961 ,27.4,36,37.6290814,126.9184822
성북,강북구,서울번동초등학교,초등학교, 공립,서울특별시 강북구 오현로 204 ,22.1,43,37.629094,127.0398115
성북,강북구,서울수유초등학교,초등학교, 공립,서울특별시 강북구 삼양로74길 39 ,24.1,40,37.6298124,127.0210796
성북,강북구,서울수유초등학교병설유치원,유치원,공립,서울특별시 강북구 삼양로74길 39 ,22.3,3,37.6298124,127.0210796
북부,노원구,다연유치원,유치원,사립,서울특별시 노원구 월계로45가길 89 ,20,4,37.6298221,127.050926
북부,노원구,서울월계초등학교,초등학교, 공립,서울특별시 노원구 월계로45가길 10 ,22,19,37.6298221,127.050926
서울시,노원구,염광고등학교,고등학교, 일반고, 서울특별시 노원구 월계로45가길 9 ,32.5,36,37.6298221,127.050926
서울시,노원구,염광여자메디텍고등학교,고등학교, 특성화고(직업), 서울특별시 노원구 월계로45가길 9 ,23.5,27,37.6298221,127.050926
북부,노원구,염광유치원,유치원,사립,서울특별시 노원구 월계로45가길  9,22.5,8,37.6298221,127.050926
북부,노원구,염광중학교,중학교, 사립, 서울특별시 노원구 월계로45가길 9 ,31,30,37.6298221,127.050926
북부,노원구,월계중학교,중학교, 공립, 서울특별시 노원구 월계로45가길 54 ,27.4,21,37.6298221,127.050926
북부,노원구,사라유치원,유치원,사립,서울특별시 노원구 동일로198가길 13 ,23.6,5,37.6303645,127.0719312
북부,노원구,두솔유치원,유치원,사립,서울특별시 노원구 초안산로 19 ,24.5,4,37.6306007,127.0534788
북부,노원구,서울신계초등학교,초등학교, 공립,서울특별시 노원구 초안산로 29 ,21.6,30,37.6306007,127.0534788
서울시,노원구,인덕공업고등학교,고등학교, 특성화고(직업), 서울특별시 노원구 초안산로 12 ,24.6,30,37.63118345,127.0544838
성북,강북구,서울유현초등학교,초등학교, 공립,서울특별시 강북구 인수봉로37길 24 ,21.6,20,37.6316182,127.0128254
성북,강북구,수유중학교,중학교, 공립, 서울특별시 강북구 인수봉로37길 40 ,29,27,37.6316182,127.0128254
성북,강북구,운산유치원,유치원,사립,서울특별시 강북구 수유로4길 58 ,28,2,37.6318651,127.0190772
북부,노원구,서울중현초등학교,초등학교, 공립,서울시 노원구 섬밭로 181번지,19.6,19,37.6320574,127.0665556
성북,강북구,번동중학교,중학교, 공립, 서울특별시 강북구 오현로35길 87 ,31.6,29,37.63217075,127.0367526
서울시,노원구,월계고등학교,고등학교, 일반고, 서울특별시 노원구 초안산로5길 66 ,31,36,37.6322965,127.049459
성북,강북구,꿈동산유치원,유치원,사립,서울특별시 강북구 한천로115길 15 ,16.8,8,37.63256,127.03848
